Program,False,True
CZ.1.01 OP Doprava,68.77,35.69
CZ.1.02 OP Životní prostředí,52.04,40.9
CZ.1.03 OP Podnikání a inovace,59.68,32.42
CZ.1.04 OP Lidské zdroje a zaměstnanost,15.12,15.01
CZ.1.05 OP Výzkum a vývoj pro inovace,30.16,31.37
CZ.1.06 Integrovaný operační program,43.14,21.22
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,15.0,15.0
CZ.1.08 OP Technická pomoc,15.0,15.25
CZ.1.09 ROP NUTS II Severozápad,60.05,29.07
CZ.1.10 ROP NUTS II Moravskoslezsko,57.51,29.43
CZ.1.11 ROP NUTS II Jihovýchod,53.94,30.1
CZ.1.12 ROP NUTS II Střední Morava,62.2,31.01
CZ.1.13 ROP NUTS II Severovýchod,56.95,30.36
CZ.1.14 ROP Jihozápad,54.57,30.09
CZ.1.15 ROP NUTS II Střední Čechy,61.75,27.48
CZ.1.25 OP Rybářství,59.16,36.42
CZ.2.16 OP Praha Konkurenceschopnost,46.04,33.05
CZ.2.17 OP Praha Adaptibilita,17.48,15.63
CZ.3.22 OP ČR - Polsko,18.01,16.5
