Právní forma,Celkové zdroje,Smlouva,Proplaceno
Příspěvková organizace,197.299,135.206,125.858
Obec nebo městská část hlavního města Prahy,193.004,125.498,116.838
"Správa železniční dopravní cesty, státní organizace",128.986,88.632,79.111
Akciová společnost,194.522,87.275,82.548
Společnost s ručením omezeným,174.136,77.868,72.887
Organizační složka státu,79.559,66.299,57.947
Kraj,72.531,56.049,50.537
Vysoká škola,63.287,46.587,43.678
Svazek obcí,23.769,14.307,13.514
Veřejná výzkumná instituce,16.9,12.409,12.003
Spolek,14.05,10.121,9.272
Obecně prospěšná společnost,8.089,6.156,5.734
Státní podnik,7.354,4.746,4.557
Regionální rada regionu soudržnosti,5.102,4.236,3.364
Církevní organizace,4.171,3.316,3.106
Zájmové sdružení právnických osob,3.64,2.716,2.391
Fond (ze zákona),4.737,2.514,2.314
Družstvo,5.394,2.281,2.133
Pobočný spolek,1.797,1.344,1.276
Společenství vlastníků jednotek,2.749,0.919,0.816
Odborová organizace a organizace zaměstnavatelů,0.985,0.828,0.732
Komora (s výjimkou profesních komor),0.843,0.716,0.644
Ústav,0.807,0.652,0.586
Společnost komanditní,0.945,0.404,0.386
Školská právnická osoba,0.497,0.402,0.375
Nadace,0.419,0.322,0.313
Veřejná obchodní společnost,0.418,0.221,0.212
Evropská společnost,0.403,0.184,0.184
Nadační fond,0.099,0.066,0.063
Zemědělský podnikatel - fyzická osoba nezapsaná v obchodním rejstříku,0.115,0.043,0.042
Zahraniční osoba,0.034,0.026,0.022
Fyzická osoba podnikající dle živnostenského zákona nezapsaná v obchodním rejstříku,0.044,0.018,0.017
"Sdružení (svaz, spolek, společnost, klub aj.)",0.019,0.016,0.015
Mezinárodní organizace a sdružení,0.018,0.015,0.014
Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství nezapsaná v obchodním rejstříku,0.038,0.014,0.014
Stavovská organizace - profesní komora,0.008,0.006,0.006
Česká národní banka,0.004,0.004,0.004
"Veřejnoprávní instituce (ČT,ČRo,ČTK)",0.001,0.001,0.004
Zahraniční,0.002,0.001,0.001
Organizační jednotka odborové organizace a organizace zaměstnavatelů,0.001,0.0,0.0
