Program,-1,1 - 5,6 - 9,10 - 19,20 - 24,25 - 49,50 - 99,100 - 199,200 - 249,250 - 499,500 - 999,1000 - 1499,1500 - 1999,2000 - 2499,2500 - 2999,3000 - 3999,4000 - 4999,5000 - 9999,10000 a více
CZ.1.01 OP Doprava,0.0,0.0,0.21,0.21,1.83,1.83,1.93,1.93,1.93,1.93,2.36,2.62,2.62,45.51,45.51,45.51,46.67,46.77,100.0
CZ.1.02 OP Životní prostředí,3.84,18.58,28.05,42.85,46.19,55.11,61.81,71.4,74.41,83.91,91.26,92.62,93.45,94.29,96.65,99.18,99.47,99.76,100.0
CZ.1.03 OP Podnikání a inovace,0.0,1.19,2.05,2.11,2.15,3.78,4.6,12.96,60.9,74.64,79.66,92.39,93.96,93.96,93.96,98.64,98.64,100.0,100.0
CZ.1.04 OP Lidské zdroje a zaměstnanost,0.0,0.1,0.12,0.24,0.26,0.68,1.47,3.5,4.27,11.55,26.39,29.24,82.56,82.56,82.59,82.8,82.91,85.02,100.0
CZ.1.05 OP Výzkum a vývoj pro inovace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.57,10.56,20.52,41.58,43.54,50.62,59.6,79.03,79.03,96.67,100.0
CZ.1.06 Integrovaný operační program,0.1,0.66,0.9,1.15,2.02,3.41,7.28,18.7,21.06,33.48,50.66,54.99,57.67,61.35,62.64,70.0,73.19,98.11,100.0
CZ.1.07 OP Vzdělávání pro konkurenceschopnost,0.04,0.15,0.87,2.53,3.48,13.39,27.51,32.58,34.16,39.22,48.27,68.34,70.93,74.14,76.79,89.55,89.61,98.2,100.0
CZ.1.08 OP Technická pomoc,0.0,0.0,0.0,0.05,0.05,0.05,1.28,1.74,9.12,13.5,74.14,76.36,99.81,99.81,99.81,99.81,100.0,100.0,100.0
CZ.1.09 ROP NUTS II Severozápad,0.07,0.51,1.56,3.25,4.56,17.19,23.68,36.37,42.16,57.88,88.77,88.77,90.77,90.77,90.77,90.77,90.77,96.74,100.0
CZ.1.10 ROP NUTS II Moravskoslezsko,2.89,3.73,5.71,9.31,10.77,14.17,23.18,30.61,32.5,39.57,42.96,83.54,83.54,87.0,87.29,97.08,97.08,97.08,100.0
CZ.1.11 ROP NUTS II Jihovýchod,1.32,2.16,3.78,6.45,7.39,11.06,19.62,24.76,26.21,28.17,82.86,83.05,83.05,83.05,90.73,98.63,98.63,98.63,100.0
CZ.1.12 ROP NUTS II Střední Morava,1.11,2.96,6.74,16.86,19.54,41.93,50.62,54.92,57.72,71.44,94.93,98.17,98.17,98.17,98.17,98.22,98.22,98.22,100.0
CZ.1.13 ROP NUTS II Severovýchod,0.78,2.6,4.36,6.56,9.01,14.71,22.86,32.87,32.9,84.81,93.67,93.67,93.67,93.67,93.67,94.52,94.52,96.11,100.0
CZ.1.14 ROP Jihozápad,0.16,2.97,6.41,10.93,13.45,18.9,26.93,38.08,40.32,42.47,90.96,91.67,96.48,96.56,96.56,98.15,98.15,98.15,100.0
CZ.1.15 ROP NUTS II Střední Čechy,0.48,4.91,9.73,15.71,16.48,26.65,37.7,45.13,49.61,59.32,89.94,91.82,97.66,97.66,97.66,97.66,97.66,97.66,100.0
CZ.1.25 OP Rybářství,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.79,0.79,0.79,96.47,96.47,100.0,100.0,100.0,100.0,100.0,100.0
CZ.2.16 OP Praha Konkurenceschopnost,0.0,0.0,0.38,1.5,1.66,2.0,2.18,6.93,10.94,26.63,34.08,39.27,39.27,40.39,40.58,42.15,53.08,58.55,100.0
CZ.2.17 OP Praha Adaptibilita,0.0,0.16,0.16,0.16,1.12,3.8,16.2,24.42,26.54,31.66,36.24,45.01,48.97,49.44,51.84,51.93,74.0,89.57,100.0
CZ.3.22 OP ČR - Polsko,1.19,4.64,6.71,12.77,13.74,26.73,37.77,50.99,62.56,83.42,93.12,96.1,96.1,96.1,97.68,99.99,99.99,100.0,100.0
